datID,cohort,week,session,mouseID,expID,rawPath,firstTiff
97,coh1,w22,ses1_20211125,M12,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/SF,M12_SF_00001_00001.tif
98,coh1,w22,ses1_20211125,M12,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/TF,M12_TF_00001_00001.tif
99,coh1,w22,ses1_20211125,M12,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/RF,M12_RF_00001_00001.tif
100,coh1,w22,ses2_20211203,M12,contrast2,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/contrast_2,M12_contrast_00001_00001.tif
101,coh1,w22,ses2_20211203,M12,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/SF,M12_SF_00001_00001.tif
102,coh1,w22,ses2_20211203,M12,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/TF,M12_TF_00001_00001.tif
103,coh1,w22,ses2_20211203,M12,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/OO,M12_OO_00001_00001.tif
104,coh1,w22,ses2_20211203,M12,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/RF,M12_RF_00001_00001.tif
105,coh1,w22,ses2_20211203,M12,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/OR,M12_OR_00001_00001.tif
106,coh1,w22,ses1_20211130,M18,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/Contrast,M18_contrast_00001_00001.tif
107,coh1,w22,ses1_20211130,M18,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/DR,M18_DR_00001_00001.tif
108,coh1,w22,ses1_20211130,M18,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/OO,M18_OO_00001_00001.tif
109,coh1,w22,ses1_20211130,M18,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/OR,M18_OR_00001_00001.tif
110,coh1,w22,ses1_20211130,M18,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/SF,M18_SF_00001_00001.tif
111,coh1,w22,ses1_20211130,M18,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/TF,M18_TF_00001_00001.tif
112,coh1,w22,ses1_20211130,M18,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M18/20211130/RF,M18_RF_00001_00001.tif
113,coh1,w22,ses1_20211123,M19,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211123_timepoit2/contrast,M19_contrast_00001_00001.tif
114,coh1,w22,ses2_20211124,M19,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/DR,M19_DR_00001_00001.tif
115,coh1,w22,ses2_20211124,M19,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/OO,M19_OO_00001_00001.tif
116,coh1,w22,ses2_20211124,M19,OO2,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/OO_2,M19_OO_00002_00001.tif
117,coh1,w22,ses2_20211124,M19,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211123_timepoit2/OR,M19_OR_00001_00001.tif
118,coh1,w22,ses2_20211124,M19,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/SF,M19_SF_00001_00001.tif
119,coh1,w22,ses2_20211124,M19,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/TF,M19_TF_00001_00001.tif
120,coh1,w22,ses2_20211124,M19,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M19/20211124_withZstack/RF,M19_RF_00001_00001.tif
